Hunger,Sleeping Problems in Babies
Less Sleep,"Sleeping Problems in Babies, Difficulty in Sleeping"
Too Hot or Cold,Sleeping Problems in Babies
Wind,Excessive Crying
Thirst,Excessive Crying
Gastro-oesophaegal Reflux,"Excessive Crying, Vomiting in Babies, Feeding Problems, Coughing, Chest Pain, Difficulty in Swallowing, Recurrent Vomiting,  Abdominal Pain, Recurrent Abdominal Pain, Wind, Nausea and Vomiting in Pregnancy, Abdominal Pain in Pregnancy"
Colic,"Excessive Crying, Fever in Babies"
Teething,"Fever in Babies, Fever in Children, Painful or Irritated Ear, Earache"
Viral or Bacterial Function,"Fever in Babies, Vomiting in Babies, Coughing, Breathing Problems"
Bronchiolitis,Excessive Crying
Cold,"Fever in Babies, Fever in Children, Runny or Blocked Nose, Sore Throat, Hearing Problems, Earache"
Overheating,"Fever in Babies, Fever in Children, Feeling Faint and Passing Out"
Meningitis,"Fever in Babies, Vomiting in Babies, Skin Problem in Babies, Fever in Children, Rash with Fever, Headache, Confusion or Drowsiness, Vomiting in Children, Fever, Painful or Stiff Neck"
Gasteroenteritis,"Fever in Babies, Vomiting in Babies, Diarrhoea in Babies, Fever in Children, Vomiting in Children, Abdominal Pain, Diarrhoea in Children, Abnormal-looking Faeces, Vomiting, Diarrhoea"
Pyloric Stenosis,Vomiting in Babies
Regurgitation,Vomiting in Babies
Intussusception,Vomiting in Babies
Travel Sickness,"Vomiting in Babies, Vomiting in Children"
Natural Sugars,Diarrhoea in Babies
Sugar Indigestion,Diarrhoea in Babies
Lactose Intolerance,"Diarrhoea in Babies, Abdominal Pain, Diarrhoea in Children, Wind"
Cystic Fibrosis,"Diarrhoea in Babies, Growth Problems, Diarrhoea in Children"
Let Down Reflex,Feeding Problems
Seborrhoeic Dermatitis,"Skin Problems in Babies, Skin Problems in Children, Hair, Scalp and Nail Problems, Painful or Irritated Ear, Skin Problems Affecting the Face"
Atopic Eczema,"Skin Problems in Babies, Skin Problems in Children, General Skin Problems"
Nappy Rash,"Skin Problems in Babies, Urinary Problems"
Oral Thrush,"Skin Problems in Babies, Mouth Problems"
Measles,"Feeling Generally Unwell, Fever in Babies, Rash with Fever, Coughing, General Skin Problems"
Urinary Tract Infection,"Feeling Generally Unwell, Sleeping Problems in Children, Fever in Children, Confusion or Drowsiness, Vomiting in Children, Abdominal Pain, Urinary Problems, Toilet-training Problems, Recurrent Abdominal Pain, Testes and Scrotum Problems, Abdominal Pain in Pregnancy"
